ID;Unit;Civic number - Parcel;Street name - Parcel;Business name;Retail category;Year recorded;Geo Local Area;Geom;geo_point_2d
6949;N/A;6665;FRASER ST;Hometown Pizza;Food & Beverage;2021;Sunset;"{""coordinates"": [-123.09119799249262, 49.22398799798887], ""type"": ""Point""}";49.22398799798887, -123.09119799249262
6953;N/A;6669;FRASER ST;New Novelty Restaurant;Food & Beverage;2021;Sunset;"{""coordinates"": [-123.09119994117479, 49.22390659017954], ""type"": ""Point""}";49.22390659017954, -123.09119994117479
6954;N/A;6672;FRASER ST;Titley Fashion;Comparison Goods;2021;Sunset;"{""coordinates"": [-123.09041003141196, 49.22387303988899], ""type"": ""Point""}";49.22387303988899, -123.09041003141196
6957;N/A;6683;FRASER ST;New Vision Hair Design;Service Commercial;2021;Sunset;"{""coordinates"": [-123.0912022705664, 49.22381191045059], ""type"": ""Point""}";49.22381191045059, -123.0912022705664
6960;N/A;6695;FRASER ST;Vancouver Meat Shop;Convenience Goods;2021;Sunset;"{""coordinates"": [-123.09120449697103, 49.223717243394724], ""type"": ""Point""}";49.223717243394724, -123.09120449697103
6961;N/A;317;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.09692051876374, 49.28158816962316], ""type"": ""Point""}";49.28158816962316, -123.09692051876374
6962;N/A;328;E HASTINGS ST;Kam Optical;Comparison Goods;2021;Strathcona;"{""coordinates"": [-123.09673798572445, 49.2809801433087], ""type"": ""Point""}";49.2809801433087, -123.09673798572445
6964;N/A;333;E HASTINGS ST;Teo Chew Society of Vancouver;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.09671101065004, 49.2815841111306], ""type"": ""Point""}";49.2815841111306, -123.09671101065004
6965;N/A;336;E HASTINGS ST;Discount Grocery;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09663324390623, 49.28097808739849], ""type"": ""Point""}";49.28097808739849, -123.09663324390623
6966;N/A;337;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.09660633010513, 49.28158240235852], ""type"": ""Point""}";49.28158240235852, -123.09660633010513
6969;N/A;343;E HASTINGS ST;Avielle Foods;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09650165094929, 49.281580697088515], ""type"": ""Point""}";49.281580697088515, -123.09650165094929
6972;N/A;356;E HASTINGS ST;New Fountain Shelter;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.09621437013158, 49.280970526574556], ""type"": ""Point""}";49.280970526574556, -123.09621437013158
6975;N/A;369;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.095977944873, 49.281570926440196], ""type"": ""Point""}";49.281570926440196, -123.095977944873
6978;N/A;384;E HASTINGS ST;Lucky Food Market;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09579567379635, 49.280962936200055], ""type"": ""Point""}";49.280962936200055, -123.09579567379635
6980;N/A;389;E HASTINGS ST;Dunlevy Smoke Shop Ltd;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09555908564577, 49.281563478366785], ""type"": ""Point""}";49.281563478366785, -123.09555908564577
6986;N/A;408;E HASTINGS ST;Public Cell;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.09520919186198, 49.280949676290334], ""type"": ""Point""}";49.280949676290334, -123.09520919186198
6990;N/A;420;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.09478981355547, 49.280941912824225], ""type"": ""Point""}";49.280941912824225, -123.09478981355547
6992;N/A;428;E HASTINGS ST;Jia Mei Trading Ltd;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.09468530723902, 49.28093997369149], ""type"": ""Point""}";49.28093997369149, -123.09468530723902
7002;N/A;458;E HASTINGS ST;Art studio (Name Unknown);Comparison Goods;2021;Strathcona;"{""coordinates"": [-123.09416144897641, 49.28093028668638], ""type"": ""Point""}";49.28093028668638, -123.09416144897641
7007;N/A;502;E HASTINGS ST;U2 Grocery;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09325601754412, 49.28091522363146], ""type"": ""Point""}";49.28091522363146, -123.09325601754412
7012;N/A;531;E HASTINGS ST;Quick Pick Food Store;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09259991499643, 49.2815083859795], ""type"": ""Point""}";49.2815083859795, -123.09259991499643
7014;N/A;541;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.09218138656591, 49.28150081025915], ""type"": ""Point""}";49.28150081025915, -123.09218138656591
7017;N/A;550;E HASTINGS ST;Sunlight Auto Repair & Part Co Ltd;Automotive Goods & Services;2021;Strathcona;"{""coordinates"": [-123.09231551419818, 49.28089624611605], ""type"": ""Point""}";49.28089624611605, -123.09231551419818
7020;N/A;577;E HASTINGS ST;Princess Market;Convenience Goods;2021;Strathcona;"{""coordinates"": [-123.09176304969904, 49.28149266347605], ""type"": ""Point""}";49.28149266347605, -123.09176304969904
7026;N/A;633;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.090754124676, 49.28147432034944], ""type"": ""Point""}";49.28147432034944, -123.090754124676
7027;N/A;637;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.09064946165496, 49.2814721797958], ""type"": ""Point""}";49.2814721797958, -123.09064946165496
7029;N/A;643;E HASTINGS ST;Coastal Eden Cafe;Food & Beverage;2021;Strathcona;"{""coordinates"": [-123.09054495437854, 49.281470238718235], ""type"": ""Point""}";49.281470238718235, -123.09054495437854
7035;N/A;660;E HASTINGS ST;Zhongshan Allied Association;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.0902660766845, 49.28085381497501], ""type"": ""Point""}";49.28085381497501, -123.0902660766845
7036;N/A;671;E HASTINGS ST;Union Gospel Mission Thrift Store;Comparison Goods;2021;Strathcona;"{""coordinates"": [-123.08986500761272, 49.281457620365124], ""type"": ""Point""}";49.281457620365124, -123.08986500761272
7040;N/A;688;E HASTINGS ST;Fazakas Gallery;Comparison Goods;2021;Strathcona;"{""coordinates"": [-123.08995156270416, 49.280846859597666], ""type"": ""Point""}";49.280846859597666, -123.08995156270416
7046;N/A;709;E HASTINGS ST;Tan Tan Food Ltd;Food & Beverage;2021;Strathcona;"{""coordinates"": [-123.08911751788096, 49.28144353713338], ""type"": ""Point""}";49.28144353713338, -123.08911751788096
7048;N/A;713;E HASTINGS ST;Lobe;Comparison Goods;2021;Strathcona;"{""coordinates"": [-123.0889079950084, 49.28143974605367], ""type"": ""Point""}";49.28143974605367, -123.0889079950084
7055;N/A;727;E HASTINGS ST;Elpidio Trading;Comparison Goods;2021;Strathcona;"{""coordinates"": [-123.08848914405615, 49.281431857668906], ""type"": ""Point""}";49.281431857668906, -123.08848914405615
7058;N/A;742;E HASTINGS ST;Initial Print;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.08851638304935, 49.2808240353359], ""type"": ""Point""}";49.2808240353359, -123.08851638304935
7062;N/A;761;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.08806993281786, 49.28142386729449], ""type"": ""Point""}";49.28142386729449, -123.08806993281786
7063;N/A;766;E HASTINGS ST;Hastings Steam & Sauna;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.08799320066156, 49.28081418222303], ""type"": ""Point""}";49.28081418222303, -123.08799320066156
7064;N/A;769;E HASTINGS ST;Astoria Hotel - Beer Store;Food & Beverage;2021;Strathcona;"{""coordinates"": [-123.08796542845002, 49.28142190049434], ""type"": ""Point""}";49.28142190049434, -123.08796542845002
7066;N/A;778;E HASTINGS ST;Wah Fai Plumbing & Heating Inc;Comparison Goods;2021;Strathcona;"{""coordinates"": [-123.08783610541627, 49.280811042792216], ""type"": ""Point""}";49.280811042792216, -123.08783610541627
7070;N/A;800;E HASTINGS ST;Atira Women's Resource Society;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.0869270870159, 49.28088138436745], ""type"": ""Point""}";49.28088138436745, -123.0869270870159
7074;2;835;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.08638021681595, 49.2813926531072], ""type"": ""Point""}";49.2813926531072, -123.08638021681595
7075;N/A;837;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.08638021681595, 49.2813926531072], ""type"": ""Point""}";49.2813926531072, -123.08638021681595
7079;N/A;859;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.08601377649865, 49.28138591651526], ""type"": ""Point""}";49.28138591651526, -123.08601377649865
7084;N/A;875;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.08549075211336, 49.28137596110304], ""type"": ""Point""}";49.28137596110304, -123.08549075211336
7090;N/A;884;E HASTINGS ST;Tailor Shop;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.08520304258326, 49.28076540462856], ""type"": ""Point""}";49.28076540462856, -123.08520304258326
7091;N/A;890;E HASTINGS ST;S K Cooling & Food Equipment Supplies;Comparison Goods;2021;Strathcona;"{""coordinates"": [-123.08504598238515, 49.280762462870705], ""type"": ""Point""}";49.280762462870705, -123.08504598238515
7092;N/A;895;E HASTINGS ST;Strathcona Beer Company;Food & Beverage;2021;Strathcona;"{""coordinates"": [-123.08517674092215, 49.28137028226588], ""type"": ""Point""}";49.28137028226588, -123.08517674092215
7095;N/A;923;E HASTINGS ST;Haven Men's Apparel HQ;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.083402808593, 49.281335052250924], ""type"": ""Point""}";49.281335052250924, -123.083402808593
7097;N/A;943;E HASTINGS ST;Master Dental Solution Ltd;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.083402808593, 49.281335052250924], ""type"": ""Point""}";49.281335052250924, -123.083402808593
7100;N/A;977;E HASTINGS ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.083402808593, 49.281335052250924], ""type"": ""Point""}";49.281335052250924, -123.083402808593
7130;N/A;329;POWELL ST;The Bloom Group Community Services Society;Service Commercial;2021;Strathcona;"{""coordinates"": [-123.09695017059806, 49.283398822415315], ""type"": ""Point""}";49.283398822415315, -123.09695017059806
7132;N/A;332;POWELL ST;Occupied unknown;Unknown;2021;Strathcona;"{""coordinates"": [-123.09686648963962, 49.28288192819112], ""type"": ""Point""}";49.28288192819112, -123.09686648963962
7134;N/A;341;POWELL ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.0966359811827, 49.2833929274998], ""type"": ""Point""}";49.2833929274998, -123.0966359811827
7135;N/A;342;POWELL ST;Vacant;Vacant;2021;Strathcona;"{""coordinates"": [-123.09665697157601, 49.28287769150419], ""type"": ""Point""}";49.28287769150419, -123.09665697157601
