TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2022,5,24,4,0,16XX DURANLEAU ST,Fairview,490106.4169,5457737.8729
Other Theft,2022,5,24,12,0,16XX DURANLEAU ST,Fairview,490106.4286,5457738.3313
Other Theft,2022,2,27,14,49,16XX E 12TH AVE,Kensington-Cedar Cottage,494898.7678,5456311.5502
Other Theft,2022,3,3,0,30,16XX E 1ST AVE,Grandview-Woodland,494856.0732,5457431.2335
Other Theft,2022,5,17,15,10,16XX E 21ST AVE,Kensington-Cedar Cottage,494872.2023,5455425.3816
Other Theft,2022,2,14,5,37,16XX E 22ND AVE,Kensington-Cedar Cottage,494829.4166,5455285.6212
Other Theft,2022,2,13,15,0,16XX E 2ND AVE,Grandview-Woodland,494794.6046,5457326.1351
Other Theft,2022,4,14,9,47,16XX E 55TH AVE,Victoria-Fraserview,494668.8888,5451915.6193
Other Theft,2022,4,8,17,0,16XX E 5TH AVE,Grandview-Woodland,494852.4967,5457023.9524
Other Theft,2022,5,3,19,15,16XX E BROADWAY AVE,Grandview-Woodland,494847.0444,5456626.0359
Other Theft,2022,3,19,19,46,16XX E GEORGIA ST,Grandview-Woodland,494781.9461,5458413.436
Other Theft,2022,1,15,17,0,16XX E GEORGIA ST,Grandview-Woodland,494782.4113,5458413.4285
Other Theft,2022,2,24,20,0,16XX GRANVILLE ST,Central Business District,490426.2151,5457870.8616
Other Theft,2022,1,27,12,30,16XX JOHNSTON ST,Fairview,490121.9191,5457755.4026
Other Theft,2022,1,14,13,0,16XX JOHNSTON ST,Fairview,490124.9546,5457766.1695
Other Theft,2022,3,9,14,30,16XX JOHNSTON ST,Fairview,490124.9546,5457766.1695
Other Theft,2022,3,10,11,55,16XX JOHNSTON ST,Fairview,490124.9546,5457766.1695
Other Theft,2022,4,11,11,40,16XX JOHNSTON ST,Fairview,490124.9546,5457766.1695
Other Theft,2022,6,2,12,15,16XX JOHNSTON ST,Fairview,490124.9546,5457766.1695
Other Theft,2022,6,11,16,48,16XX JOHNSTON ST,Fairview,490130.8891,5457744.3589
Other Theft,2022,1,18,16,30,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494885.0191,5454971.9131
Other Theft,2022,4,29,8,30,16XX KITCHENER ST,Grandview-Woodland,494829.7254,5457716.5809
Other Theft,2022,5,28,12,0,16XX MANITOBA ST,Mount Pleasant,492238.1676,5457536.7536
Other Theft,2022,6,9,20,0,16XX NAPIER ST,Grandview-Woodland,494923.032,5458018.925
Other Theft,2022,6,12,20,15,16XX NAPIER ST,Grandview-Woodland,494923.032,5458018.925
Other Theft,2022,5,20,2,27,16XX NELSON ST,West End,490089.1237,5459469.4406
Other Theft,2022,5,26,19,21,16XX NELSON ST,West End,490089.1237,5459469.4406
Other Theft,2022,2,18,5,5,16XX PENDRELL ST,West End,489916.532,5459322.0236
Other Theft,2022,3,9,20,15,16XX PULLMAN PORTER ST,Mount Pleasant,492478.4343,5457602.1552
Other Theft,2022,2,7,21,46,16XX QUEBEC ST,Mount Pleasant,492588.7135,5457658.0048
Other Theft,2022,3,26,13,15,16XX QUEBEC ST,Mount Pleasant,492588.7135,5457658.0048
Other Theft,2022,3,26,13,5,16XX QUEBEC ST,Mount Pleasant,492598.9218,5457687.2291
Other Theft,2022,3,14,8,55,16XX SALT ST,Mount Pleasant,492286.5827,5457524.8483
Other Theft,2022,4,12,16,55,16XX SALT ST,Mount Pleasant,492286.5827,5457524.8483
