TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Offence Against a Person,2022,6,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,8,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,19,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,11,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,17,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,19,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,23,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,18,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,12,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,19,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,17,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,30,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,30,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,17,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,28,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,17,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,29,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,14,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,22,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,18,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,18,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,14,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,15,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,15,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,29,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,5,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,11,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,23,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,22,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,14,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,8,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,19,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,17,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,15,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,12,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,30,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,18,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,22,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,30,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,5,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,31,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,12,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,5,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,23,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,23,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,22,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,30,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,11,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,28,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,24,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,15,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,28,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,23,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,18,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,5,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,19,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,22,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,5,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,23,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,14,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,23,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,15,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,11,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,20,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2022,5,26,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2022,4,17,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,22,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,30,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,14,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,12,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,18,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,5,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,8,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,14,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,12,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,12,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,29,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,8,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,18,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,11,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,15,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,28,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,5,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,18,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,28,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,29,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,8,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,8,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,20,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,13,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,11,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,17,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,12,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,1,22,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,30,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,30,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,16,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,29,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,29,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,14,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,29,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,19,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,29,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,4,23,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,5,30,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,6,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,2,26,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2022,3,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
