stop_lat,stop_code,stop_lon,stop_id,stop_name,zone_id
49.209345,52678,-123.019766,2703,Northbound Joffre Ave @ Maple Tree Lane,BUS ZN
49.26318,60517,-123.101149,12749,Southbound Main St @ E Broadway,BUS ZN
49.281403,59889,-123.025625,12318,Kootenay Loop @ Bay 1,BUS ZN
49.227274,60746,-123.159273,12744,Westbound W 49 Ave @ Yew St,BUS ZN
49.223033,50825,-123.090707,832,Northbound Fraser St @ E 52 Ave,BUS ZN
49.218589,50823,-123.090819,830,Northbound Fraser St @ E 57 Ave,BUS ZN
49.22126,50824,-123.090756,831,Northbound Fraser St @ E 54 Ave,BUS ZN
49.229442,50829,-123.090556,836,Northbound Fraser St @ E 45 Ave,BUS ZN
49.231265,50830,-123.0905,837,Northbound Fraser St @ E 43 Ave,BUS ZN
49.225766,50827,-123.090643,834,Northbound Fraser St @ E 49 Ave,BUS ZN
49.235102,50832,-123.090364,839,Northbound Fraser St @ E 39 Ave,BUS ZN
49.240272,61110,-123.053886,11623,Southbound Slocan St @ Kingsway,BUS ZN
49.197093,56956,-123.073397,7023,Southbound Viking Way @ Vulcan Way,BUS ZN
49.25033,51714,-123.033942,1728,Southbound Rupert St @ E 22 Ave,BUS ZN
49.196014,56955,-123.07839,7022,Eastbound Vulcan Way @ Viscount Way,BUS ZN
49.253698,51712,-123.033945,1726,Southbound Rupert St @ E 18 Ave,BUS ZN
49.252011,51713,-123.033936,1727,Southbound Rupert St @ E 20 Ave,BUS ZN
49.257755,51710,-123.033953,1724,Southbound Rupert St @ Grandview Hwy,BUS ZN
49.255276,51711,-123.03393,1725,Southbound Rupert St @ E 16 Ave,BUS ZN
49.263542,51706,-123.033894,1720,Southbound Rupert St @ E 7th Ave,BUS ZN
49.262185,51707,-123.03393,1721,Southbound Rupert St @ E Broadway,BUS ZN
49.249302,51576,-123.125107,1588,Westbound W King Edward Ave @ Laurel St,BUS ZN
49.249375,51577,-123.128078,1589,Westbound W King Edward Ave @ Oak St,BUS ZN
49.248783,51570,-123.097125,1582,Westbound E King Edward Ave @ Prince Edward St,BUS ZN
49.248868,51571,-123.101632,1583,Westbound E King Edward Ave @ Main St,BUS ZN
49.248724,51568,-123.090591,1580,Westbound E King Edward Ave @ Fraser St,BUS ZN
49.248752,51569,-123.094411,1581,Westbound E King Edward Ave @ St. George St,BUS ZN
49.249121,51574,-123.116003,1586,King Edward Station @ Bay 1,BUS ZN
49.249205,51575,-123.120844,1587,Westbound W King Edward Ave @ Heather St,BUS ZN
49.248922,51572,-123.105388,1584,Westbound W King Edward Ave @ Ontario St,BUS ZN
49.249023,51573,-123.110516,1585,Westbound W King Edward Ave @ Columbia St,BUS ZN
49.249632,50456,-123.127357,460,Northbound Oak St @ W King Edward Ave,BUS ZN
49.25921,50213,-123.138595,214,Northbound Granville St @ W 14 Ave,BUS ZN
49.261157,50214,-123.13852,215,Northbound Granville St @ W 12 Ave,BUS ZN
49.253467,50211,-123.138804,212,Northbound Granville St @ Matthews Ave,BUS ZN
49.257367,50212,-123.138663,213,Northbound Granville St @ W 16 Ave,BUS ZN
49.250127,50209,-123.138924,210,Northbound Granville St @ W King Edward Ave,BUS ZN
49.252263,50210,-123.138834,211,Northbound Granville St @ Balfour Ave,BUS ZN
49.265651,50217,-123.138349,218,Northbound Granville St @ W 7th Ave,BUS ZN
49.283161,61930,-123.076463,12071,Westbound Powell St @ Clark Dr,BUS ZN
49.282052,61933,-123.086717,12070,Eastbound Cordova Diversion @ Hawks Ave,BUS ZN
49.29023,50611,-123.133644,11477,Eastbound Robson St @ Bidwell St,BUS ZN
49.275854,50536,-123.128375,11475,Southbound Granville St @ Drake St,BUS ZN
49.269179,51941,-123.145428,11473,Northbound Burrard St @ W 3rd Ave,BUS ZN
49.262356,50911,-123.062394,919,Westbound E Broadway @ Lakewood Dr,BUS ZN
49.262127,50910,-123.055187,918,Westbound E Broadway @ Kamloops St,BUS ZN
49.262097,50907,-123.044962,915,Westbound E Broadway @ Renfrew St,BUS ZN
49.262111,50909,-123.051889,917,Westbound E Broadway @ Penticton St,BUS ZN
49.262111,50908,-123.050045,916,Westbound E Broadway @ Slocan St,BUS ZN
49.262009,50904,-123.034312,911,Westbound E Broadway @ Rupert St,BUS ZN
49.262053,50903,-123.031548,910,Westbound E Broadway @ Cassiar St,BUS ZN
49.261989,50905,-123.037125,912,Westbound E Broadway @ Windermere St,BUS ZN
49.266906,61684,-123.09471,11813,Westbound Great Northern Way @ Thornton St,BUS ZN
49.285962,58003,-123.111516,8078,Waterfront Station @ Platform 1,ZN 1
49.24431,57996,-123.04608,8071,29th Avenue Station @ Platform 1,ZN 1
49.23843,57995,-123.031759,8070,Joyce-Collingwood Station @ Platform 1,ZN 1
49.262311,57998,-123.069077,8073,Commercial-Broadway Station @ Platform 3,ZN 1
49.248334,57997,-123.055868,8072,Nanaimo Station @ Platform 1,ZN 1
49.279271,58000,-123.109109,8075,Stadium-Chinatown Station @ Platform 1,ZN 1
49.273172,57999,-123.10035,8074,Main Street-Science World Station @ Platform 1,ZN 1
49.28558,58002,-123.119598,8077,Burrard Station @ Platform 1,ZN 1
49.283193,58001,-123.115674,8076,Granville Station @ Platform 1,ZN 1
49.223425,51208,-123.065653,1217,Northbound Victoria Dr @ E 51 Ave,BUS ZN
49.21691,51205,-123.065874,1214,Northbound Victoria Dr @ Brigadoon Ave,BUS ZN
