TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,RECENCY
Other Theft,2022,3,2,15,37,E HASTINGS ST / MAIN ST,Strathcona,492749.7913,5458737.3828,106
Other Theft,2022,1,23,18,30,E HASTINGS ST / MCLEAN DR,Grandview-Woodland,494609.4772,5458731.1317,144
Other Theft,2022,2,17,16,0,E PENDER ST / MAIN ST,Strathcona,492748.7551,5458629.982,119
Other Theft,2022,4,19,9,52,E PENDER ST / MAIN ST,Strathcona,492748.7551,5458629.982,58
Other Theft,2022,2,15,17,15,EUCLID AVE / MCHARDY ST,Renfrew-Collingwood,497345.2028,5453867.8864,121
Other Theft,2022,4,27,12,55,FIR ST / W BROADWAY AVE,Fairview,489739.4853,5456770.7836,50
Other Theft,2022,3,31,18,0,FRENCH ST / W 67TH AVE,Marpole,489866.346,5450906.3994,77
Other Theft,2022,5,26,14,30,GORE AVE / KEEFER ST,Strathcona,492931.2258,5458524.6102,21
Other Theft,2022,4,12,12,0,GORE AVE / RAILWAY ST,Strathcona,492882.5912,5459065.219,65
Other Theft,2022,3,19,21,30,GRANDVIEW HWY / RENFREW ST,Renfrew-Collingwood,496771.1179,5456159.731,89
Other Theft,2022,3,17,21,0,GRANVILLE ST / HELMCKEN ST,Central Business District,490936.8721,5458390.3175,91
Other Theft,2022,5,1,2,30,GRANVILLE ST / NELSON ST,Central Business District,491050.9496,5458506.9491,46
Other Theft,2022,5,4,22,0,GRANVILLE ST / NELSON ST,Central Business District,491050.9496,5458506.9491,43
Other Theft,2022,1,31,8,42,GRANVILLE ST / NELSON ST,Central Business District,491050.9499,5458506.949,136
Other Theft,2022,2,26,3,0,GRANVILLE ST / NELSON ST,Central Business District,491050.9499,5458506.949,110
Other Theft,2022,5,2,5,29,GRANVILLE ST / NELSON ST,Central Business District,491050.9499,5458506.949,45
Other Theft,2022,5,17,13,45,GRANVILLE ST / NELSON ST,Central Business District,491050.9499,5458506.949,30
Other Theft,2022,3,20,0,0,GRANVILLE ST / ROBSON ST,Central Business District,491285.8782,5458741.8428,88
Other Theft,2022,4,6,17,0,GRANVILLE ST / SMITHE ST,Central Business District,491170.9319,5458626.0415,71
Other Theft,2022,4,7,4,49,GRANVILLE ST / SMITHE ST,Central Business District,491170.9319,5458626.0412,70
Other Theft,2022,5,5,12,30,GRANVILLE ST / W BROADWAY AVE,Fairview,489918.7795,5456767.6951,42
Other Theft,2022,5,3,15,4,GRANVILLE ST / W GEORGIA ST,Central Business District,491408.2273,5458864.9384,44
Other Theft,2022,2,21,17,30,HAMILTON ST / NELSON ST,Central Business District,491307.1931,5458252.3556,115
Other Theft,2022,4,14,0,0,HAMILTON ST / ROBSON ST,Central Business District,491566.3725,5458460.3763,63
Other Theft,2022,2,5,19,30,HAMILTON ST / W HASTINGS ST,Central Business District,492002.8333,5458896.815,131
Other Theft,2022,3,10,12,0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.8955,5458315.7704,98
Other Theft,2022,3,11,12,20,HOWE ST / NELSON ST,Central Business District,490978.3731,5458580.1292,97
Other Theft,2022,2,26,16,30,HOWE ST / W GEORGIA ST,Central Business District,491334.3343,5458937.8606,110
Other Theft,2022,4,20,21,55,HOWE ST / W GEORGIA ST,Central Business District,491334.3343,5458937.8606,57
Other Theft,2022,2,15,5,47,HOWE ST / W PENDER ST,Central Business District,491575.3026,5459176.0034,121
Other Theft,2022,2,17,10,15,KEEFER ST / MAIN ST,Strathcona,492745.8377,5458530.0655,119
Other Theft,2022,2,7,18,31,KINGSWAY AVE / WESSEX ST,Renfrew-Collingwood,497519.6665,5453379.681,129
Other Theft,2022,4,12,21,0,MACKENZIE ST / W 33RD AVE,Arbutus Ridge,487610.2841,5454409.6222,65
Other Theft,2022,1,31,11,30,MAIN ST / POWELL ST,Strathcona,492759.2545,5458942.4695,136
Other Theft,2022,4,13,14,30,MAIN ST / POWELL ST,Strathcona,492759.2545,5458942.4695,64
Other Theft,2022,2,4,21,0,MAIN ST / TERMINAL AVE,Mount Pleasant,492718.245,5457784.5797,132
Other Theft,2022,3,31,13,0,MANITOBA ST / W BROADWAY AVE,Mount Pleasant,492227.2927,5456703.8393,77
Other Theft,2022,5,24,5,38,NELSON ST / SEYMOUR ST,Central Business District,491125.6598,5458434.4889,23
Other Theft,2022,4,10,20,20,PINE ST / W BROADWAY AVE,Fairview,489565.7985,5456776.4354,67
Other Theft,2022,4,25,22,0,QUEBEC ST / UNION ST,Central Business District,492571.1402,5458324.751,52
Other Theft,2022,4,29,13,0,QUEBEC ST / UNION ST,Central Business District,492572.4803,5458325.9094,48
Other Theft,2022,4,15,12,16,RICHARDS ST / W HASTINGS ST,Central Business District,491861.3847,5459038.6987,62
Other Theft,2022,4,2,23,9,RICHARDS ST / W PENDER ST,Central Business District,491791.7544,5458968.7534,75
Other Theft,2022,4,25,17,0,RICHARDS ST / WATER ST,Central Business District,491933.4618,5459112.1543,52
Other Theft,2022,3,8,10,0,ROBSON ST / THURLOW ST,West End,490920.4233,5459101.6054,100
Other Theft,2022,3,17,14,20,ROBSON ST / THURLOW ST,West End,490920.4233,5459101.6054,91
Other Theft,2022,3,30,18,2,ROBSON ST / THURLOW ST,West End,490920.4233,5459101.6054,78
Other Theft,2022,3,5,7,45,SASAMAT ST / W 14TH AVE,West Point Grey,484775.123,5456403.0444,103
Other Theft,2022,2,25,17,15,SEMLIN DR / WILLIAM ST,Grandview-Woodland,495377.2709,5457891.7386,111
Other Theft,2022,2,6,13,26,SEYMOUR ST / SMITHE ST,Central Business District,491242.0156,5458550.5317,130
Other Theft,2022,2,11,1,30,SEYMOUR ST / W PENDER ST,Central Business District,491721.6233,5459035.9169,125
Other Theft,2022,4,5,10,0,TRIMBLE ST / W 5TH AVE,West Point Grey,485019.266,5457279.2806,72
Other Theft,2022,1,3,18,30,W 41ST AVE / WEST BLVD,Arbutus Ridge,488676.8209,5453545.4778,164
Other Theft,2022,1,8,9,0,X ALEXANDER ST,Central Business District,492436.3905,5458968.3349,159
Other Theft,2022,3,18,1,30,X ALEXANDER ST,Central Business District,492441.3004,5458972.0734,90
Other Theft,2022,4,9,23,0,X ALEXANDER ST,Central Business District,492445.4248,5458975.2139,68
Other Theft,2022,2,9,16,40,X ATHLETES WAY,Mount Pleasant,492386.3148,5457648.5346,127
Other Theft,2022,5,16,17,0,X ATHLETES WAY,Mount Pleasant,492386.3148,5457648.5346,31
Other Theft,2022,5,12,22,30,X E HASTINGS ST,Central Business District,492427.4022,5458745.3367,35
Other Theft,2022,3,11,2,0,X FALSE CREEK,Fairview,491173.1528,5457478.067,97
Other Theft,2022,3,13,14,0,X FALSE CREEK,Fairview,491173.1528,5457478.067,95
Other Theft,2022,3,20,14,0,X FALSE CREEK,Fairview,491173.1528,5457478.067,88
